project	totalCases	success_passed	success_fail	exception_passed	exception_fail
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	10	11	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
minime	34	9	12	13	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
mvp	7	2	2	3	0
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	17	2
noia-token	51	16	16	18	1
noia-token	51	16	16	17	2
noia-token	51	17	15	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	17	2
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	17	15	17	2
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
noia-token	51	16	16	18	1
ponyBadges	30	12	8	10	0
ponyBadges	30	12	8	10	0
ponyBadges	30	12	8	10	0
ponyBadges	30	12	8	10	0
ponyBadges	30	6	14	10	0
ponyBadges	30	6	14	10	0
ponyBadges	30	12	8	10	0
ponyBadges	30	11	9	10	0
ponyBadges	30	11	9	10	0
ponyBadges	30	12	8	10	0
ponyBadges	30	12	8	10	0
ponyBadges	30	6	14	10	0
ponyBadges	30	12	8	10	0
ponyBadges	30	11	9	10	0
ponyBadges	30	9	11	10	0
ponyBadges	30	11	9	10	0
ponyBadges	30	11	9	10	0
ponyBadges	30	8	12	10	0
ponyBadges	30	11	9	10	0
ponyBadges	30	12	8	10	0
ponyBadges	30	12	8	10	0
ponyBadges	30	9	11	10	0
ponyBadges	30	6	14	10	0
ponyBadges	30	11	9	10	0
ponyBadges	30	12	8	10	0
ponyBadges	30	11	9	10	0
ponyBadges	30	6	14	10	0
ponyBadges	30	9	11	10	0
ponyBadges	30	9	11	10	0
ponyBadges	30	8	12	10	0
real-estate-marketplace	183	73	94	16	0
real-estate-marketplace	183	71	96	16	0
real-estate-marketplace	183	71	96	16	0
real-estate-marketplace	183	73	94	16	0
real-estate-marketplace	183	73	94	16	0
real-estate-marketplace	183	72	95	16	0
real-estate-marketplace	183	71	96	16	0
real-estate-marketplace	183	73	94	16	0
real-estate-marketplace	183	71	96	16	0
real-estate-marketplace	183	72	95	16	0
real-estate-marketplace	183	74	93	16	0
real-estate-marketplace	183	74	93	16	0
real-estate-marketplace	183	72	95	16	0
real-estate-marketplace	183	73	94	16	0
real-estate-marketplace	183	72	95	16	0
real-estate-marketplace	183	73	94	16	0
real-estate-marketplace	183	73	94	16	0
real-estate-marketplace	183	73	94	16	0
real-estate-marketplace	183	73	94	16	0
real-estate-marketplace	183	73	94	16	0
real-estate-marketplace	183	71	96	16	0
real-estate-marketplace	183	72	95	16	0
real-estate-marketplace	183	74	93	16	0
real-estate-marketplace	183	74	93	16	0
real-estate-marketplace	183	73	94	16	0
real-estate-marketplace	183	71	96	16	0
real-estate-marketplace	183	72	95	16	0
real-estate-marketplace	183	71	96	16	0
real-estate-marketplace	183	73	94	16	0
real-estate-marketplace	183	73	94	16	0
secretstore-acl	4	2	1	1	0
secretstore-acl	4	2	1	1	0
secretstore-acl	4	2	1	1	0
secretstore-acl	4	2	1	1	0
secretstore-acl	4	2	1	1	0
secretstore-acl	4	2	1	1	0
secretstore-acl	4	2	1	1	0
secretstore-acl	4	2	1	1	0
secretstore-acl	4	2	1	1	0
secretstore-acl	4	2	1	1	0
secretstore-acl	4	2	1	1	0
secretstore-acl	4	2	1	1	0
secretstore-acl	4	2	1	1	0
